id,user,D_no,street_name,city,state,country,zip_code,phone_number
1649324154774,1649324154768,123 Main St,Main Street,New York,NY,USA,10001,123-456-7890
1649324154775,1649324154770,456 Elm St,Elm Street,Los Angeles,CA,USA,90001,987-654-3210
1649324154776,1649324154771,789 Oak St,Oak Street,Chicago,IL,USA,60001,555-123-4567
1649324154777,1649324154769,321 Pine St,Pine Street,Houston,TX,USA,77001,901-234-5678
1649324154778,1649324154765,901 Maple St,Maple Street,Phoenix,AZ,USA,85001,111-222-3333
1649324154779,1649324154770,234 Cedar St,Cedar Street,Philadelphia,PA,USA,19001,444-555-6666
1649324154780,1649324154768,567 Cypress St,Cypress Street,San Antonio,TX,USA,78001,777-888-9999
1649324154781,1649324154769,890 Walnut St,Walnut Street,San Diego,CA,USA,92001,333-444-5555
1649324154782,1649324154773,345 Spruce St,Spruce Street,Dallas,TX,USA,75001,666-777-8888
1649324154783,1649324154770,678 Fir St,Fir Street,San Jose,CA,USA,95001,999-000-1111
